Grade,Subject,Latest Results,22-23 Form A,22-23 Form B,22-23 Form C,23-24 Form A,23-24 Form B,23-24 Form C
2,Math,2021-12-09,0,0,0,0,0,0
5,Language Arts,2021-06-21,0,0,0,0,0,0
5,Math,2022-05-23,0,0,0,0,0,0
6,Language Arts,2021-06-15,0,0,0,0,0,0
7,Language Arts,2021-06-14,0,0,0,0,0,0
6-8,Algebra I,2021-06-20,0,0,0,0,0,0

School,Grade,Subject,Latest Results,22-23 Form A,22-23 Form B,22-23 Form C,23-24 Form A,23-24 Form B,23-24 Form C
Markham Place School,5,Language Arts,2021-06-21,0,0,0,0,0,0
Markham Place School,5,Math,2022-05-23,0,0,0,0,0,0
Markham Place School,6,Language Arts,2021-06-15,0,0,0,0,0,0
Markham Place School,7,Language Arts,2021-06-14,0,0,0,0,0,0
Markham Place School,6-8,Algebra I,2021-06-20,0,0,0,0,0,0
Point Road School,2,Math,2021-12-09,0,0,0,0,0,0


Grade,Subject,19-20 A,19-20 B,19-20 C,20-21 A,20-21 B,20-21 C,21-22 A,21-22 B,21-22 C,22-23 A,22-23 B,22-23 C,23-24 A,23-24 B,23-24 C
2,Math,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
5,Language Arts,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0
5,Math,0,0,0,83,78,0,0,79,0,0,0,0,0,0,0
6,Language Arts,0,0,61,0,0,85,0,0,0,0,0,0,0,0,0
7,Language Arts,0,0,87,16,0,79,0,0,0,0,0,0,0,0,0
6-8,Algebra I,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

