19865	1	656	103	3300	1(A)	19	E207	8049
19866	1	658	103	3300	1(A)	12	E207	8049
20125	1	112	2063	3300	3(A)	13	D118	8049
20126	1	155	122	3301	8(A)	6	D117	8049
20127	2	230	1101	3300	7(A)	21	E110	8049
20128	1	243	126	3300	11(A)	19	E114	8049
20129	2	207	126	3300	9(A)	12	E114	8049
20130	1	330	127	3300	5(A)	11	E112	8049
20131	1	307	94	3300	4(A)	22	D204	8049
20132	2	307	94	3300	8(A)	23	D204	8049
20133	1	716	3512	3302	4(A)	15	F128	8049
20134	1	710	178	3301	3(A)	18	F128	8049
20135	2	710	178	3302	3(A)	9	F128	8049
20136	3	717	178	3301	9(A)	16	D212	8049
20137	2	718	3512	3302	5(A)	10	D211	8049
20138	1	173B6	117	3302	8(A)	13	D115	8049
20139	1	990	199	3301	11(A)	29	D210	8049
20140	3	500	3725	3305	5(A)	18	D203	8049
20141	1	9	2911	3301	3(A)	21	D201	8049
20142	1	501	4011	3300	8(A)	15	D200	8049
20143	1	502	4011	3300	7(A)	9	D203	8049
20144	1	503	3725	3300	4(A)	9	D203	8049
20145	2	503	3725	3300	9(A)	8	D203	8049
20146	1	504	3725	3300	10(A)	4	D203	8049
20147	1	506	3725	3300	3(A)	0	D203	8049
20148	1	507	3725	3300	3(A)	5	D203	8049
20149	1	510	3762	3300	7(A)	23	D202	8049
20150	2	510	3762	3300	9(A)	21	D202	8049
20151	1	512	3762	3300	8(A)	12	D202	8049
20152	2	512	3762	3300	10(A)	16	D202	8049
20153	1	513	3966	3300	10(A)	10	D200	8049
20154	1	514	3966	3300	6(A)	8	D200	8049
20155	2	514	3966	3300	9(A)	6	D200	8049
20156	1	516	3966	3300	11(A)	3	D200	8049
19867	1	659	103	3300	1(A)	9	E207	8049
19868	1	662	103	3300	1(A)	1	E207	8049
19869	1	660	3723	3300	1(A)	29	B118	8049
19870	1	165	110	3301	1(A)	1	E205	8049
19871	1	515	3966	3300	3(A)	4	D200	8049
19872	1	316G	105	3302	8(A)	6	D213	8049
19873	2	5212	502	3302	3(A)	1	Media CTR	8049
19874	19	540	110	3301	11(A)	1	E205	8049
19875	6	500	3966	3304	5(A)	17	D200	8049
19876	3	268	164	3300	10(A)	1	D-120A	8049
19877	23	540	113	3302	4(A)	2		8049
19878	10	541	113	3300	5(A)	0		8049
20464	1	C2000	501	3301	9(A)	1		8049
20467	1	C2101	501	3301	8(A)	1		8049
19881	8	540	113	3301	10(A)	4		8049
19882	1	976	113	3300	8-11(A)	1		8049
19883	1	5208	502	3302	8(A)	1	Media CTR	8049
19884	14	540	113	3301	4(A)	1		8049
19885	1	1000	105	3303	1(A)	46	D213	8049
19887	17	540	103	3302	8(A)	1	D207	8049
19888	3	541	178	3300	11(A)	1	F128	8049
19889	3	683	2411	3301	11(A)	3	D215	8049
19890	2	192	164	3300	7(A)	3	D-120A	8049
19891	1	231SB	3362	3300	5(A)	1	D116	8049
19892	1	409S	4016	3300	9(A)	2	D-120B	8049
19893	4	410	3729	3300	11(A)	2	D118	8049
19894	11	541	164	3300	5(A)	1	D-120A	8049
19895	24	540	113	3301	9(A)	1		8049
20157	1	119	4016	3300	10(A)	1	D-120B	8049
20158	2	263	3362	3300	8(A)	1	D116	8049
20159	1	423	652	3301	4(A)	13	D212	8049
20160	2	424	652	3301	6(A)	14	D212	8049
20161	1	408	2911	3300	5(A)	19	D201	8049
20162	2	408	652	3300	8(A)	17	D212	8049
20163	3	408	652	3300	10(A)	20	D212	8049
20164	2	407	3729	3300	8(A)	23	E114	8049
20165	1	410	3729	3300	3(A)	9	D202	8049
20166	2	410	3729	3300	11(A)	17	D118	8049
20167	2	450	2911	3301	9(A)	2	D201	8049
20168	1	614	121	3300	5(A)	4	E208	8049
20169	1	625	121	3301	8(A)	2	E208	8049
20170	1	598	121	3302	8(A)	1	E208	8049
20171	3	9	2411	3301	4(A)	9	D215	8049
20172	4	9	451	3302	4(A)	8	Media CTR	8049
20173	5	9	178	3301	5(A)	9	D202	8049
20174	1	1212	1101	3300	2(A)	16	E110	8049
20175	2	7000	3364	3300	2(A)	22	D214	8049
20176	3	160	122	3301	9(A)	13	D117	8049
20177	2	109	101	3300	7(A)	15	E206	8049
20178	1	111	2063	3300	6(A)	25	D118	8049
20179	1	122	2063	3300	5(A)	18	D118	8049
20180	1	352	3364	3300	6(A)	9	D214	8049
20181	3	709	3512	3301	11(A)	18	F128	8049
20182	1	719	3512	3301	6(A)	13	D123	8049
20183	1	720	3512	3301	9(A)	21	F128	8049
20184	2	720	178	3302	10(A)	20	F128	8049
20185	1	708	178	3301	11(A)	21	F128	8049
20465	2	C2000	501	3301	1(A)	1		8049
20466	1	C2100	501	3301	1(A)	1		8049
20469	1	C2300	501	3301	6(A)	1		8049
19899	1	266	164	3300	10(A)	2	D-120A	8049
20470	1	C2400	501	3301	10(A)	1		8049
19901	2	643B	103	3302	1(A)	1	E207	8049
19902	1	5200	502	3301	8(A)	1	Media CTR	8049
19903	12	540	113	3302	6(A)	4		8049
19904	1	5094	502	3301	6(A)	1	Media CTR	8049
19905	18	540	113	3301	5(A)	2	D102	8049
19907	1	5215	502	3302	3(A)	1		8049
19908	17	9	178	3305	5(A)	3	D202	8049
19909	5	500	3966	3303	5(A)	17	D200	8049
19910	7	500	3966	3305	5(A)	14	D200	8049
19911	8	500	3966	3306	5(A)	18	D200	8049
19912	1	6005	502	3300	11(A)	1	Media CTR	8049
19913	2	5208	502	3302	9(A)	1	Media CTR	8049
20468	1	C2200	501	3301	4(A)	1		8049
19915	4	602	121	3302	5(A)	1	E208	8049
19916	21	540	3726	3302	4(A)	1	E113	8049
19917	1	230S	3362	3300	5(A)	1	D116	8049
19918	1	5073	502	3301	1(A)	2		8049
19919	2	268	164	3300	8(A)	1	D-120A	8049
19920	10	540	113	3302	9(A)	3		8049
19922	1	979	113	3300	8-11(A)	1		8049
19923	5	541	451	3300	10(A)	1	Media CTR	8049
19924	1	5241	502	3301	10(A)	1	Media CTR	8049
19925	1	982	113	3300	8-11(A)	1		8049
19926	1	5077	502	3302	4(A)	1	Media CTR	8049
20186	2	708	178	3302	11(A)	29	F128	8049
20187	3	710	178	3301	4(A)	6	F128	8049
20188	1	430	102	3301	3(A)	8	D211	8049
20189	1	717	178	3301	7(A)	17	D201	8049
20190	1	409	102	3300	7(A)	10	D211	8049
20191	2	409	102	3300	9(A)	13	D211	8049
20192	3	409	102	3300	10(A)	16	D211	8049
20193	4	717	178	3302	9(A)	16	D117	8049
20194	1	420	102	3300	11(A)	14	D211	8049
20195	3	718	3512	3302	10(A)	12	E205	8049
20196	1	173A3	117	3301	5(A)	11	D115	8049
20197	1	173A8	117	3301	10(A)	17	D115	8049
20198	2	174	451	3302	7(A)	13	Media CTR	8049
20199	3	174	3362	3301	11(A)	17	E112	8049
20200	1	500	3725	3303	5(A)	17	D203	8049
20201	1	110S	117	3300	3(A)	2	D115	8049
20202	1	111S	117	3300	3(A)	2	D115	8049
20203	2	111S	117	3300	4(A)	0	D115	8049
20204	1	640	103	3300	3(A)	41	E207	8049
