193756	4042	19869	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	660
193757	4029	19869	09/05/2023	07/01/2024	8049	3300	4	0	3723	1	660
192737	7468	20397	09/05/2023	07/01/2024	8049	3300	3	0	121	2	610
192800	2929	20076	09/05/2023	07/01/2024	8049	3300	5	0	126	1	240
192802	2929	19964	09/05/2023	07/01/2024	8049	3300	2	0	122	1	110
192840	4059	20398	09/05/2023	07/01/2024	8049	3300	0	0	113	1	5000
192846	7474	19953	09/05/2023	07/01/2024	8049	3300	0	3	3729	2	8000
192847	7474	20205	09/05/2023	07/01/2024	8049	3300	0	0	103	1	645
192850	7474	20124	09/05/2023	07/01/2024	8049	3300	0	0	110	1	108
192851	7474	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
192856	7474	20150	09/05/2023	07/01/2024	8049	3300	0	0	3762	2	510
192857	7474	20163	09/05/2023	07/01/2024	8049	3300	0	0	652	3	408
193758	4052	19869	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	660
193759	4858	19869	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	660
193760	5251	19869	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	660
193761	6963	19869	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	660
193762	4741	19869	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	660
193763	4036	19869	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	660
193764	4708	19869	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	660
193765	4711	19869	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	660
193766	4720	19869	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	660
193767	4016	19869	09/05/2023	07/01/2024	8049	3300	2	0	3723	1	660
193768	4712	19869	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	660
193769	4729	19869	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	660
193770	4743	19869	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	660
193771	1931	19928	09/05/2023	07/01/2024	8049	3300	2	0	3723	1	652
193772	2473	19928	09/05/2023	07/01/2024	8049	3300	2	0	3723	1	652
193773	2757	19928	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	652
193774	3278	19928	09/05/2023	07/01/2024	8049	3300	2	0	3723	1	652
193775	3282	19928	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	652
193776	4818	19928	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	652
193777	5109	19928	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	652
193778	2755	19928	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	652
193779	3255	19928	09/05/2023	07/01/2024	8049	3300	1	0	3723	1	652
193780	3277	19928	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	652
193781	3419	19928	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	652
193782	3428	19928	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	652
193783	6351	19928	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	652
193784	4104	19928	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	652
193785	1978	19928	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	652
193786	2510	19928	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	652
193787	2861	19928	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	652
193788	3254	19928	09/05/2023	07/01/2024	8049	3300	1	0	3723	1	652
193789	1935	19928	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	652
193790	2472	19928	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	652
193791	3275	19928	09/05/2023	07/01/2024	8049	3300	1	0	3723	1	652
193792	3280	19928	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	652
193944	1978	20013	09/05/2023	07/01/2024	8049	3300	0	0	3723	1	651
193945	2787	19865	09/05/2023	07/01/2024	8049	3300	0	0	103	1	656
193793	6203	20074	09/15/2023	07/01/2024	8049	3300	0	0	1101	1	215
193827	1934	20457	09/05/2023	07/01/2024	8049	3300	1	0	502	1	5060
193829	7468	20403	09/26/2023	07/01/2024	8049	3300	2	1	113	1	1300
190962	7462	20084	09/05/2023	07/01/2024	8049	3300	3	0	94	1	340
190963	7462	19966	09/05/2023	07/01/2024	8049	3300	2	0	1101	2	231
190964	7462	20220	09/05/2023	07/01/2024	8049	3300	2	1	121	1	611
190965	7462	20178	09/05/2023	07/01/2024	8049	3300	1	0	2063	1	111
190966	7462	20060	09/05/2023	07/01/2024	8049	3300	2	0	252	2	1
190972	7462	20020	09/05/2023	07/01/2024	8049	3300	3	0	2911	2	411
192721	7464	20086	09/05/2023	07/01/2024	8049	3300	0	0	94	1	341
192739	2763	20398	09/05/2023	07/01/2024	8049	3300	0	0	113	1	5000
192859	7474	19972	09/05/2023	07/01/2024	8049	3300	0	0	127	1	208
192871	4024	20008	09/05/2023	07/01/2024	8049	3300	0	0	105	3	310
188224	7055	20047	09/05/2023	07/01/2024	8049	3300	0	0	113	7	541
188225	1903	20048	09/05/2023	07/01/2024	8049	3300	4	0	113	1	971
188226	1930	19963	09/05/2023	07/01/2024	8049	3300	2	0	2063	1	123
188231	4061	20071	09/05/2023	07/01/2024	8049	3300	0	1	122	1	121
188236	2912	20060	09/05/2023	07/01/2024	8049	3300	1	0	252	2	1
188237	2912	20206	09/05/2023	07/01/2024	8049	3300	1	0	3723	1	649
188238	1638	20060	09/05/2023	07/01/2024	8049	3300	0	0	252	2	1
188239	1932	19963	09/05/2023	07/01/2024	8049	3300	0	0	2063	1	123
188240	1932	19969	09/05/2023	07/01/2024	8049	3300	1	0	120	2	250
188241	1932	20082	09/05/2023	07/01/2024	8049	3300	0	0	105	1	311
188242	1932	19975	09/05/2023	07/01/2024	8049	3300	0	0	3364	1	351
188247	3422	20060	09/05/2023	07/01/2024	8049	3300	0	0	252	2	1
188248	3422	20125	09/05/2023	07/01/2024	8049	3300	0	0	2063	1	112
188250	3422	19970	09/05/2023	07/01/2024	8049	3300	0	0	120	1	249
188251	3422	20130	09/05/2023	07/01/2024	8049	3300	0	0	127	1	330
188252	6155	20074	09/05/2023	07/01/2024	8049	3300	1	0	1101	1	215
188257	5858	20020	09/05/2023	07/01/2024	8049	3300	3	0	2911	2	411
188259	5858	19974	09/05/2023	07/01/2024	8049	3300	2	0	3364	1	331
188265	4902	20060	09/05/2023	07/01/2024	8049	3300	5	0	252	2	1
188266	4902	20125	09/05/2023	07/01/2024	8049	3300	5	0	2063	1	112
193522	4732	19866	09/14/2023	07/01/2024	8049	3300	0	0	103	1	658
193523	4014	19866	09/05/2023	07/01/2024	8049	3300	1	0	103	1	658
193525	7268	19865	09/05/2023	07/01/2024	8049	3300	0	0	103	1	656
193526	4031	19866	09/05/2023	07/01/2024	8049	3300	0	0	103	1	658
193527	4032	19866	09/05/2023	07/01/2024	8049	3300	3	0	103	1	658
193528	4811	19866	09/05/2023	07/01/2024	8049	3300	1	0	103	1	658
193529	4026	19866	09/05/2023	07/01/2024	8049	3300	4	0	103	1	658
193530	5117	19865	09/05/2023	07/01/2024	8049	3300	1	0	103	1	656
193531	4709	19866	09/05/2023	07/01/2024	8049	3300	0	0	103	1	658
193532	4027	19866	09/05/2023	07/01/2024	8049	3300	1	0	103	1	658
193724	4840	19867	09/05/2023	07/01/2024	8049	3300	0	0	103	1	659
187514	4706	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187515	4721	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187516	4724	19850	09/05/2023	07/01/2024	8049	3300	3	0	252	1	1
187517	4734	19850	09/05/2023	07/01/2024	8049	3300	1	0	252	1	1
187519	4744	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187520	5809	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187521	6203	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187523	4034	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187524	4701	19850	09/05/2023	07/01/2024	8049	3300	2	0	252	1	1
187525	4705	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187526	4733	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187527	4807	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187528	4820	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187529	6957	19850	09/05/2023	07/01/2024	8049	3300	1	0	252	1	1
187530	4732	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187531	4747	19850	09/05/2023	07/01/2024	8049	3300	1	0	252	1	1
187532	5521	19850	09/05/2023	07/01/2024	8049	3300	1	0	252	1	1
187533	6354	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187534	7262	19850	09/05/2023	07/01/2024	8049	3300	2	0	252	1	1
187535	4703	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187536	4709	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187537	4713	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187538	4716	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187539	4722	19850	09/05/2023	07/01/2024	8049	3300	1	0	252	1	1
187540	4731	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187541	4748	19850	09/05/2023	07/01/2024	8049	3300	4	0	252	1	1
187542	4804	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187543	4858	19850	09/05/2023	07/01/2024	8049	3300	1	0	252	1	1
187544	5251	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187545	6309	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187546	4702	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187547	4704	19850	09/05/2023	07/01/2024	8049	3300	1	0	252	1	1
187548	4739	19850	09/05/2023	07/01/2024	8049	3300	1	0	252	1	1
187549	4741	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187550	4742	19850	09/05/2023	07/01/2024	8049	3300	2	0	252	1	1
187551	4749	19850	09/05/2023	07/01/2024	8049	3300	3	0	252	1	1
187552	4806	19850	09/05/2023	07/01/2024	8049	3300	1	0	252	1	1
187553	5511	19850	09/05/2023	07/01/2024	8049	3300	3	0	252	1	1
187554	5851	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187555	6155	19850	09/05/2023	07/01/2024	8049	3300	1	0	252	1	1
187556	7052	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187557	4708	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187558	4711	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187559	4720	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187560	4726	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
187561	4809	19850	09/05/2023	07/01/2024	8049	3300	0	0	252	1	1
188273	7055	20045	09/05/2023	07/01/2024	8049	3300	3	0	121	2	611
188275	4706	20128	09/05/2023	07/01/2024	8049	3300	0	0	126	1	243
188279	1921	20071	09/05/2023	07/01/2024	8049	3300	1	0	122	1	121
188282	4733	20149	09/05/2023	07/01/2024	8049	3300	0	0	3762	1	510
188290	1913	19963	09/05/2023	07/01/2024	8049	3300	1	0	2063	1	123
